split,field,value,count,split_total
dev,accent,united states english,5009,9603
dev,accent,"india and south asia (india, pakistan, sri lanka)",1923,9603
dev,accent,england english,1012,9603
dev,accent,canadian english,289,9603
dev,accent,australian english,287,9603
dev,accent,"southern african (south africa, zimbabwe, namibia)",147,9603
dev,accent,irish english,112,9603
dev,accent,malaysian english,91,9603
dev,accent,new zealand english,83,9603
dev,accent,scottish english,75,9603
dev,accent,filipino,71,9603
dev,accent,hong kong english,63,9603
dev,accent,singaporean english,48,9603
dev,accent,"west indies and bermuda (bahamas, bermuda, jamaica, trinidad)",21,9603
dev,accent,german,14,9603
dev,accent,welsh english,14,9603
dev,accent,"united states english,england english",12,9603
dev,accent,"united states english,midwestern,minnesotan",12,9603
dev,accent,nigeria english,9,9603
dev,accent,"united states english,england english,india and south asia (india, pakistan, sri lanka)",7,9603
dev,accent,dutch,6,9603
dev,accent,"german english,non native speaker",6,9603
dev,accent,french,5,9603
dev,accent,russian,5,9603
dev,accent,"united states english,india and south asia (india, pakistan, sri lanka)",5,9603
dev,accent,"england english,india and south asia (india, pakistan, sri lanka),northern english",4,9603
dev,accent,"england english,new zealand english",4,9603
dev,accent,"liverpool english,lancashire english,england english",4,9603
dev,accent,"south german accent,alemannic german accent,german,south-west german",4,9603
dev,accent,swedish english,4,9603
dev,accent,turkish,4,9603
dev,accent,"united states english,australian english",4,9603
dev,accent,american,3,9603
dev,accent,brazilian,3,9603
dev,accent,central scottish ,3,9603
dev,accent,chichester,3,9603
dev,accent,egyptian english ,3,9603
dev,accent,"england english,british",3,9603
dev,accent,"england english,dutch",3,9603
dev,accent,"england english,east midland, united kingdom",3,9603
dev,accent,"england english,polish english",3,9603
dev,accent,"england english,southern england english",3,9603
dev,accent,finnish,3,9603
dev,accent,korean,3,9603
dev,accent,"ontario,canadian english",3,9603
dev,accent,"scottish english,glaswegian ",3,9603
dev,accent,"scottish english,spanish english",3,9603
dev,accent,south african english,3,9603
dev,accent,"south atlantic (falkland islands, saint helena)",3,9603
dev,accent,"tinged with southern accent,midwestern united states - chicago",3,9603
dev,accent,"united states english,a combination of michigan and new england",3,9603
dev,accent,"united states english,appalachian english",3,9603
dev,accent,"united states english,dutch english",3,9603
dev,accent,"united states english,filipino",3,9603
dev,accent,"united states english,kentucky",3,9603
dev,accent,"united states english,maine",3,9603
dev,accent,"united states english,midwest american",3,9603
dev,accent,"united states english,southern with a stutter",3,9603
dev,accent,argentinian english,2,9603
dev,accent,brooklyn ,2,9603
dev,accent,"canadian english,india and south asia (india, pakistan, sri lanka)",2,9603
dev,accent,czech,2,9603
dev,accent,dutch modern english,2,9603
dev,accent,east african khoja,2,9603
dev,accent,"england english,british english,manchester,mancunian, speech impediment",2,9603
dev,accent,"england english,east anglian english,east midlands english,fenland english",2,9603
dev,accent,"england english,esturine, from the region around the thames estuary in england",2,9603
dev,accent,"england english,i speak like a typical south east england, south london accent",2,9603
dev,accent,"england english,north of england,lancashire,mild scouse",2,9603
dev,accent,"england english,northern england",2,9603
dev,accent,"england english,received pronunciation,london accent ",2,9603
dev,accent,"england english,south london and essex",2,9603
dev,accent,"england english,souther english, long-term resident in scotland",2,9603
dev,accent,"england english,southern african (south africa, zimbabwe, namibia)",2,9603
dev,accent,"england english,southern english,sussex",2,9603
dev,accent,"england english,standard english",2,9603
dev,accent,"england english,yorkshire",2,9603
dev,accent,english as second language (russian as first),2,9603
dev,accent,flemish,2,9603
dev,accent,"france english,germany english",2,9603
dev,accent,german english,2,9603
dev,accent,"hello my friend,i love you,hey you are you ok ,ho are you,yes i am",2,9603
dev,accent,"india and south asia (india, pakistan, sri lanka),indian english ",2,9603
dev,accent,"indian,neutral,slow",2,9603
dev,accent,"indonesian,indonesia",2,9603
dev,accent,latino,2,9603
dev,accent,"london, england",2,9603
dev,accent,non native - french speaker,2,9603
dev,accent,north wales 1st language welsh english,2,9603
dev,accent,"scottish english,scottish english (west coast),scottish english (ayrshire)",2,9603
dev,accent,"slavic,east european,polish",2,9603
dev,accent,"southern californian,united states english",2,9603
dev,accent,thai english,2,9603
dev,accent,ukrainian,2,9603
dev,accent,"united states english,according to aptis, i've got a c1 level",2,9603
dev,accent,"united states english,caribbean and british mixed with some new york accents",2,9603
dev,accent,"united states english,colorado",2,9603
dev,accent,"united states english,england english,hong kong english",2,9603
dev,accent,"united states english,england english,irish english,scottish english",2,9603
dev,accent,"united states english,german",2,9603
dev,accent,"united states english,midwestern",2,9603
dev,accent,"united states english,midwestern,african american ,midwestern wisconsin,wisconsin",2,9603
dev,accent,"united states english,midwestern,ohio",2,9603
dev,accent,"united states english,portuguese",2,9603
dev,accent,"united states english,puerto rican,latin american english,florida,new york,long island,savannah, georgia",2,9603
dev,accent,"united states english,russian english accent",2,9603
dev,accent,"united states english,turkish",2,9603
dev,accent,"united states english,vietnamese accent",2,9603
dev,accent,wise canadian english,2,9603
dev,accent,yoruba,2,9603
dev,accent,русский,2,9603
dev,accent,"australian english,educated australian accent",1,9603
dev,accent,"australian english,teenager",1,9603
dev,accent,"bangladesh,india and south asia (india, pakistan, sri lanka)",1,9603
dev,accent,bangladeshi english,1,9603
dev,accent,"bangladeshi,bangladesh english",1,9603
dev,accent,"brazilian,latino",1,9603
dev,accent,bulgarian,1,9603
